"ime_zupanije","sjediste","zupan","povrsina_km2","broj_stanovnika","pozivni_broj","dan_zupanije","broj_opcina","broj_naselja","ime_grada"
"Šibensko-kninska županija","Šibenik","Paško Rakić",2994,96381,"022","17. svibnja",15,199,"Skradin"
"Šibensko-kninska županija","Šibenik","Paško Rakić",2994,96381,"022","17. svibnja",15,199,"Šibenik"
"Šibensko-kninska županija","Šibenik","Paško Rakić",2994,96381,"022","17. svibnja",15,199,"Vodice"
"Varaždinska županija","Varaždin","Anđelko Stričak",1262,159487,"042","8. rujna",22,302,"Ivanec"
"Varaždinska županija","Varaždin","Anđelko Stričak",1262,159487,"042","8. rujna",22,302,"Lepoglava"
"Varaždinska županija","Varaždin","Anđelko Stričak",1262,159487,"042","8. rujna",22,302,"Ludbreg"
"Varaždinska županija","Varaždin","Anđelko Stričak",1262,159487,"042","8. rujna",22,302,"Novi Marof"
"Varaždinska županija","Varaždin","Anđelko Stričak",1262,159487,"042","8. rujna",22,302,"Varaždin"
"Varaždinska županija","Varaždin","Anđelko Stričak",1262,159487,"042","8. rujna",22,302,"Varaždinske Toplice"
"Virovitičko-podravska županija","Virovitica","Igor Andrović",2024,70368,"033","5. rujna",13,188,"Orahovica"
"Virovitičko-podravska županija","Virovitica","Igor Andrović",2024,70368,"033","5. rujna",13,188,"Slatina"
"Virovitičko-podravska županija","Virovitica","Igor Andrović",2024,70368,"033","5. rujna",13,188,"Virovitica"
"Vukovarsko-srijemska županija","Vukovar","Ivan Bosančić",2454,143113,"032","11. studenog",26,85,"Ilok"
"Vukovarsko-srijemska županija","Vukovar","Ivan Bosančić",2454,143113,"032","11. studenog",26,85,"Otok"
"Vukovarsko-srijemska županija","Vukovar","Ivan Bosančić",2454,143113,"032","11. studenog",26,85,"Vinkovci"
"Vukovarsko-srijemska županija","Vukovar","Ivan Bosančić",2454,143113,"032","11. studenog",26,85,"Vukovar"
"Vukovarsko-srijemska županija","Vukovar","Ivan Bosančić",2454,143113,"032","11. studenog",26,85,"Županja"
"Zadarska županija","Zadar","Josip Bilaver",3646,159766,"023","15. travnja",28,229,"Benkovac"
"Zadarska županija","Zadar","Josip Bilaver",3646,159766,"023","15. travnja",28,229,"Biograd na Moru"
"Zadarska županija","Zadar","Josip Bilaver",3646,159766,"023","15. travnja",28,229,"Nin"
"Zadarska županija","Zadar","Josip Bilaver",3646,159766,"023","15. travnja",28,229,"Obrovac"
"Zadarska županija","Zadar","Josip Bilaver",3646,159766,"023","15. travnja",28,229,"Pag"
"Zadarska županija","Zadar","Josip Bilaver",3646,159766,"023","15. travnja",28,229,"Zadar"
"Zagrebačka županija","Grad Zagreb","Stjepan Kožić",3060,299985,"01 ","17. srpnja",25,694,"Dugo Selo"
"Zagrebačka županija","Grad Zagreb","Stjepan Kožić",3060,299985,"01 ","17. srpnja",25,694,"Ivanić-Grad"
"Zagrebačka županija","Grad Zagreb","Stjepan Kožić",3060,299985,"01 ","17. srpnja",25,694,"Jastrebarsko"
"Zagrebačka županija","Grad Zagreb","Stjepan Kožić",3060,299985,"01 ","17. srpnja",25,694,"Samobor"
"Zagrebačka županija","Grad Zagreb","Stjepan Kožić",3060,299985,"01 ","17. srpnja",25,694,"Sveta Nedelja"
"Zagrebačka županija","Grad Zagreb","Stjepan Kožić",3060,299985,"01 ","17. srpnja",25,694,"Sveti Ivan Zelina"
"Zagrebačka županija","Grad Zagreb","Stjepan Kožić",3060,299985,"01 ","17. srpnja",25,694,"Velika Gorica"
"Zagrebačka županija","Grad Zagreb","Stjepan Kožić",3060,299985,"01 ","17. srpnja",25,694,"Vrbovec"
"Zagrebačka županija","Grad Zagreb","Stjepan Kožić",3060,299985,"01 ","17. srpnja",25,694,"Zaprešić"
